class,legacy_id,canonical_id,status,note
step,STEP2,P4B5-STEP2,renamed-2026-09-10-v3,closure chain (danc seed2)
step,STEP3,P4B5-STEP3,renamed-2026-09-10-v3,closure chain (dp2b)
step,STEP4,P4B5-STEP4,renamed-2026-09-10-v3,closure chain (lane8)
step,STEP5,P4B5-STEP5,renamed-2026-09-10-v3,closure chain (da14)
step,ROUND2 STEP1,P6B-STEP1,renamed-2026-09-10-v3,uppercase chain header in phase6_round2_chain.sh
# ---- bare "STEP <n>" is phase-overloaded; resolved per owning phase (scope map) ----
step,Phase 4A STEP n,P4A-STEPn,renamed-2026-09-10-v3,"PHASE 4A · STEP 2 / HISTORICAL: was mis-read as P5-STEP before the scope fix"
step,Phase 3C STEP 1,P3C-STEP1,renamed-2026-09-10-v3,PHASE 3C STEP 1 - BUDGET GROUPING
step,Phase 4B STEP n,P4B-STEPn,renamed-2026-09-10-v3,Phase 4B STEP 4 (anatomy of false positives)
step,Phase 5 STEP 6,P5-STEP6,renamed-2026-09-10-v3,Phase 5 lane causal probe STEP 6/7
step,Phase 5 STEP 7b,P5-STEP7b,renamed-2026-09-10-v3,20ep confirmation of l14f1_z16
step,Phase 5 STEP 7c,P5-STEP7c,renamed-2026-09-10-v3,seed replication
step,Phase 2 STEP n,P2-STEPn,renamed-2026-09-10-v3,phase2 report files renamed P2-STEPn_REPORT.md
step,STEP1_BUDGET_CHAIN_DONE,P2-STEP1_BUDGET_CHAIN_DONE,renamed-2026-09-10-v3,Phase-2 status marker constant
step,STEP2_SINGLE_KD_DONE,P2-STEP2_SINGLE_KD_DONE,renamed-2026-09-10-v3,Phase-2 status marker constant
step,STEP2_EVAL_DONE,P2-STEP2_EVAL_DONE,renamed-2026-09-10-v3,Phase-2 status marker constant
step,STEP A,P6A-STEP2a,renamed-2026-09-10,letter-form sub-step of the overnight chain
step,STEP B,P6A-STEP2b,renamed-2026-09-10,
step,STEP C,P6A-STEP2c,renamed-2026-09-10,
step,STEP D,P6A-STEP2d,renamed-2026-09-10,
step,GPU-1,P6A-STEP1,renamed-2026-09-10,scheduling alias to execution step
step,GPU-2,P6A-STEP2,renamed-2026-09-10,
step,GPU-3,P6A-STEP3,renamed-2026-09-10,
gate,GATE1,GATE-6A.1,renamed-2026-09-10,letterless gate form
gate,GATE2,GATE-6A.2,renamed-2026-09-10,
file,PHASE4BC_LEVEL2_DECISION_REPORT.md,PHASE4BC_LEVEL2_DECISION_REPORT.md,rule-defined,merged form is LEGAL (4B+4C); not a conflict
task,phase6_round2_factorial.csv,phase6_round2_factorial.csv,task-specified,round-2 brief fixes this exact output path — never renamed
task,phase6_equal_budget.csv,phase6_equal_budget.csv,task-specified,round-2 brief
task,phase6_round2_decision.md,phase6_round2_decision.md,task-specified,round-2 brief
task,phase6_round2_statistics.csv,phase6_round2_statistics.csv,task-specified,round-2 brief
task,phase6_round2_chain.sh,phase6_round2_chain.sh,task-specified,kept consistent with its own outputs
# ---- path-level aliases (kind: dir/file) — full list in scripts/naming_path_map.csv ----
path,experiments/expA_equal_budget,experiments/phase2c/expA_equal_budget,renamed-2026-09-10-v3,HIGH: docs/PHASE2C_EXPA_RESULTS.md
path,experiments/expD_compact_z,experiments/phase2b/expD_compact_z,renamed-2026-09-10-v3,MED
path,experiments/expF_single_teacher,experiments/phase2b/expF_single_teacher,renamed-2026-09-10-v3,MED
path,experiments/expI_kd_dynamic,experiments/phase2b/expI_kd_dynamic,renamed-2026-09-10-v3,MED
path,experiments/exp_train_A,experiments/phase1b/exp_train_a,renamed-2026-09-10-v3,HIGH
path,experiments/exp_train_D,experiments/phase1b/exp_train_d,renamed-2026-09-10-v3,HIGH
path,experiments/exp_001,experiments/phase1b/exp_001,renamed-2026-09-10-v3,HIGH
path,experiments/exp_static_vs_dynamic,experiments/phase1b/exp_static_vs_dynamic,renamed-2026-09-10-v3,HIGH
path,experiments/exp_shared_vs_taskwise,experiments/phase1b/exp_shared_vs_taskwise,renamed-2026-09-10-v3,HIGH
path,experiments/revised,experiments/phase1b/revised,renamed-2026-09-10-v3,HIGH
path,experiments/template,experiments/_template,renamed-2026-09-10-v3,MED
path,experiments/figures,experiments/_figures,renamed-2026-09-10-v3,MED
path,scripts/night_master_chain.sh,scripts/phase1b_night_master_chain.sh,renamed-2026-09-10-v3,MED
path,scripts/chain_after.sh,scripts/phase2_chain_after.sh,renamed-2026-09-10-v3,MED
path,scripts/queue_errorgeom.sh,scripts/phase5_queue_errorgeom.sh,renamed-2026-09-10-v3,HIGH
path,scripts/recover_step2_then_chain.sh,scripts/phase4b_recover_step2_then_chain.sh,renamed-2026-09-10-v3,HIGH
path,configs/train_stageA.yaml,configs/phase1b_train_stage_a.yaml,renamed-2026-09-10-v3,HIGH
path,configs/ours_0.5M.yaml,configs/phase2_ours_0.5m.yaml,renamed-2026-09-10-v3,MED
# ---- variant-tag vocabulary (NOT renamed; registered so the tag set is closed) ----
cell,danc,k-means default anchors,catalog-registered,variant tag vocabulary
cell,dp2a,DA probe 2a,catalog-registered,
cell,dp2b,DA probe 2b,catalog-registered,
cell,lane8,lane label widen 8px,catalog-registered,
cell,da14,DA head 1/4 + f1 skip,catalog-registered,
cell,l14f1,lane 1/4 lateral from encoder s1 + feature1,catalog-registered,
cell,l14up,lane 1/4 upsample,catalog-registered,
cell,lch64,lane channels 64,catalog-registered,
cell,lch72,lane channels 72,catalog-registered,
cell,combo20,k-means anchors + lane 1/4 (20ep),catalog-registered,
cell,r2d,r2 variant d,catalog-registered,
cell,r2p,r2 variant p,catalog-registered,
cell,r2u,r2 variant u,catalog-registered,
cell,r3tp,r3 variant tp,catalog-registered,
cell,rw,reweight,catalog-registered,
cell,e7_z16_old,EXP-07 cell z16 x old-assignment,catalog-registered,
cell,e7_z16_km,EXP-07 cell z16 x k-means,catalog-registered,
cell,e7_z32_old,EXP-07 cell z32 x old-assignment,catalog-registered,
cell,e7_z32_km,EXP-07 cell z32 x k-means,catalog-registered,
cell,e8_unif_seed0,EXP-08 A-uniform arm seed0,catalog-registered,
